NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
"Standard Textile Home - Mediterranean Towels, Flint Gray, 6-Piece (2 of Each)",3.9,18,$35.00 - $85.00,$15.39 - $37.09,7014691
"SKL Home Saturday Knight Ltd Rhapsody Bold Colors And An Intricate Pattern Reversible Hand Towel 16x26"", Multi",4.5,4,$25.48,$25.48,300058051
Classic Turkish Towels Cambridge Genuine Cotton Soft Absorbent Jumbo Bath Sheets 2 Piece Set,0.0,0,$49.99,$35.99,7093009
Hearth & Harbor Luxury Set of 2 Bath Mats (985 GSM) & 2 Wash Cloth Towels,0.0,0,$82.99,$43.95,300420465
"Kitcheniva 2-Pcs 100% Soft Cotton Turkish Bath Towels Set, Purple",0.0,0,$58.56,$40.99,300585855
"Utopia Towels 8-Piece Bath Linen Sets Viscose Stripe 600 GSM Ring Spun Cotton Towel, Burgundy",0.0,0,$56.99,$51.99,300416729
Haven&trade; Organic Cotton Waffle &amp; Terry Bath Towel,4.2,111,$22.00,$22.00,5644857
Avanti Chevron Galaxy Hand Towel,4.5,15,$15.99,$15.99,3309978
"by Hasen Hotel Luxury Bath Towel 6-Pack Set   100% Pure Cotton, Spa Quality Absorbent   2 x Bath Towels, 2 x Hand Towels, 2 x Washcloths (Ivory White, 6-Pack Set)",0.0,0,$44.99,$44.99,300108823
Belen Kox 100% Cotton 6 Piece Towel Set,0.0,0,$131.58,$72.59,300258482
Avanti Premier Whisper Hand Towel in White,4.7,55,$16.99,$16.99,1018116227
"Kitcheniva 4-Piece Bath Towels Set for Bathroom, White",0.0,0,$102.84,$71.99,300589415
Turkish Luxury Personalized Ribbed Hand Towel,3.0,2,$26.99,$26.99,5325165
"Classic Turkish Towels Genuine Cotton Soft Absorbent Antalya 12 Piece Set With 4 Bath Towels, 4 Hand Towels, 4 Washcloths",0.0,0,$89.99,$72.99,7044725
"Classic Turkish Towels Genuine Cotton Soft Absorbent Carel and Garen 6 Piece Set With 2 Bath Towels, 2 Hand Towels, 2 Washcloths",0.0,0,$49.99,$42.79,7044720
Avanti Sea Glass Hand Towel in Beige,4.7,7,$15.99,$15.99,1047718982
"Classic Turkish Towels Genuine Cotton Soft Absorbent Arsenal 9 Piece Set With 2 Bath Towels, 2 Bath Sheets, 2 Hand Towels, 2 Washcloths, and a Bath Mat",2.0,2,$56.99 - $74.99,$53.99 - $74.99,7044705
Bee &amp; Willow&trade; Beaufort Hand Towel,0.0,0,$10.00,$10.00,5660783
"PiccoCasa 100% Combed Cotton 8 Piece Towel Set (4 Wash Towels, 2 Hand Towels, 2 Bath Towels), Soft 600 GSM Luxury Absorbent for Bathroom Shower Towel Steel Blue",0.0,0,$61.49,$61.49,7100850
"Utopia Towels 2-Pack Luxurious Jumbo Bath Towel Sheets (35 x 70 Inches )- 600 GSM, White",0.0,0,$58.99,$52.99,300411535
Haven&trade; Wave Organic Cotton Bath Sheet,3.7,34,$32.00,$32.00,5540561
